docid,year,num_reviews,FUEL,INTERIOR,EXTERIOR,BUILD,PERFORMANCE,COMFORT,RELIABILITY,FUN,overall_rating
2007_kia_optima,2007,61,7.49,8.74,8.52,7.48,7.95,8.13,7.70,8.13,8.02
2007_kia_rio,2007,29,8.03,7.59,8.10,7.52,7.21,7.17,7.62,7.90,7.64
2007_kia_rondo,2007,89,7.61,8.81,8.44,8.85,8.65,8.87,9.24,8.58,8.63
2007_kia_sedona,2007,44,7.70,9.25,9.57,9.05,9.27,9.41,9.02,8.98,9.03
2007_kia_sorento,2007,50,7.16,8.88,9.30,8.78,9.08,8.74,9.10,9.20,8.78
2007_kia_spectra,2007,47,8.74,9.04,8.98,8.94,8.72,8.87,9.23,9.02,8.94
2007_kia_sportage,2007,27,7.44,9.15,9.33,9.07,8.70,9.11,9.37,8.93,8.89
2007_lexus_es_350,2007,159,8.85,9.03,9.13,9.13,9.17,9.23,9.35,8.86,9.09
2007_lexus_gs_350,2007,72,8.57,9.14,9.44,9.24,9.33,9.11,9.47,9.00,9.16
2007_lexus_gs_450h,2007,20,8.35,8.65,9.05,9.55,9.55,9.10,9.75,9.05,9.13
2007_lexus_gx_470,2007,24,6.79,9.29,9.29,9.75,9.38,9.83,9.71,9.17,9.15
2007_lexus_is_250,2007,84,8.87,9.24,9.82,9.20,8.75,9.21,9.39,9.26,9.22
2007_lexus_is_350,2007,37,8.30,9.49,9.54,9.51,9.62,8.92,9.62,9.27,9.28
2007_lexus_ls_460,2007,62,8.44,9.31,9.06,9.27,9.18,9.15,9.50,8.74,9.08
2007_lexus_rx_350,2007,78,8.32,9.13,9.32,9.26,9.21,9.31,9.60,8.77,9.11
2007_lexus_rx_400h,2007,24,8.04,9.04,8.92,9.08,8.83,8.71,9.08,8.50,8.78
2007_mazda_cx-7,2007,245,6.48,8.36,9.26,8.28,8.53,8.49,8.23,9.05,8.34
2007_mazda_cx-9,2007,97,7.44,9.33,9.63,9.31,9.39,9.31,9.26,9.56,9.15
2007_mazda_mazda3,2007,227,8.08,9.30,9.56,9.21,9.15,8.92,9.42,9.62,9.16
2007_mazda_mazda5,2007,65,8.42,8.65,9.14,8.74,8.54,8.35,8.88,8.98,8.71
2007_mazda_mazda6,2007,67,8.27,8.97,9.42,8.81,8.63,8.81,8.82,9.39,8.89
2007_mazda_mazdaspeed_mazda3,2007,52,7.98,9.21,9.44,9.13,9.56,9.04,9.27,9.67,9.16
2007_mazda_mazdaspeed_mazda6,2007,35,7.31,9.00,9.03,8.97,9.23,8.89,8.86,9.63,8.86
2007_mazda_mx-5_miata,2007,54,8.91,9.09,9.67,9.54,9.41,8.31,9.61,9.98,9.31
2007_mazda_rx-8,2007,17,5.76,9.47,9.82,9.65,8.94,9.35,9.82,9.65,9.06
2007_mercedes-benz_c-class,2007,114,8.11,8.77,9.47,9.07,8.42,8.75,8.86,9.07,8.82
2007_mercedes-benz_clk-class,2007,60,7.10,8.33,9.30,8.73,9.10,8.63,8.97,8.80,8.62
2007_mercedes-benz_cls-class,2007,44,7.82,9.27,9.82,9.50,9.59,9.27,9.55,9.41,9.28
2007_mercedes-benz_e-class,2007,128,8.48,9.34,9.63,9.34,9.28,9.45,9.33,9.23,9.26
2007_mercedes-benz_gl-class,2007,128,7.91,9.27,9.48,9.56,9.72,9.61,9.33,9.45,9.29
2007_mercedes-benz_m-class,2007,92,8.22,9.39,9.52,9.04,8.98,9.41,9.13,9.28,9.12
2007_mercedes-benz_r-class,2007,74,7.70,9.08,8.84,9.30,8.59,9.19,8.81,8.38,8.74
2007_mercedes-benz_s-class,2007,108,8.31,9.48,9.48,8.78,9.33,9.28,8.93,9.07,9.08
2007_mercedes-benz_sl-class,2007,48,6.58,9.38,9.83,9.46,9.63,9.38,9.17,9.71,9.14
2007_mercedes-benz_slk-class,2007,44,7.45,8.41,9.59,8.77,8.64,8.00,8.91,9.09,8.61
2007_mini_cooper,2007,64,9.23,8.72,9.63,8.55,9.05,8.64,8.44,9.66,8.99
2007_mitsubishi_eclipse,2007,51,8.06,8.94,9.65,8.86,9.12,9.02,9.33,9.67,9.08
2007_mitsubishi_eclipse_spyder,2007,65,8.05,9.31,9.72,9.17,9.37,9.00,9.32,9.78,9.22
2007_mitsubishi_endeavor,2007,22,8.09,8.86,9.14,9.09,9.32,9.09,9.41,9.36,9.05
2007_mitsubishi_galant,2007,22,7.82,8.77,9.32,9.18,8.86,9.05,9.23,9.05,8.91
2007_mitsubishi_outlander,2007,145,8.57,8.88,9.27,8.88,9.19,8.91,9.39,9.24,9.04
2007_mitsubishi_raider,2007,13,6.31,8.62,9.23,8.92,8.15,8.92,9.38,8.85,8.55
2007_nissan_350z,2007,34,8.56,8.91,9.76,9.50,9.59,9.00,9.56,9.85,9.34
2007_nissan_altima,2007,220,8.24,8.99,9.46,8.72,9.10,8.67,8.93,9.17,8.91
2007_nissan_altima_hybrid,2007,53,9.40,9.30,9.74,9.34,9.51,9.45,9.25,9.58,9.45
2007_nissan_armada,2007,24,6.50,9.13,9.54,9.00,9.79,9.42,9.54,9.17,9.01
2007_nissan_frontier,2007,120,7.42,8.45,9.33,9.17,9.18,8.74,9.35,9.00,8.83
2007_nissan_maxima,2007,114,6.91,8.73,9.06,8.46,8.45,8.60,8.92,8.57,8.46
2007_nissan_murano,2007,88,7.68,9.07,9.50,9.38,9.05,9.32,9.55,9.05,9.07
2007_nissan_pathfinder,2007,29,7.24,8.86,9.41,8.59,9.34,8.93,8.97,9.17,8.81
2007_nissan_quest,2007,54,6.83,8.33,8.98,7.70,8.65,8.28,8.19,8.54,8.19
2007_nissan_sentra,2007,144,7.98,8.68,8.97,8.28,8.49,8.95,8.74,8.65,8.59
2007_nissan_titan,2007,66,6.89,8.98,9.52,9.11,9.52,9.06,9.15,9.35,8.95
2007_nissan_versa,2007,220,7.90,8.79,8.73,8.54,8.37,8.92,8.88,8.67,8.60
2007_nissan_xterra,2007,50,6.68,7.96,9.26,9.00,9.34,8.32,9.20,9.48,8.66
2007_pontiac_g5,2007,64,9.11,8.53,9.17,8.56,9.03,8.70,8.89,9.27,8.91
2007_pontiac_g6,2007,184,7.55,8.17,8.91,7.85,8.48,8.33,8.31,8.95,8.32
2007_pontiac_grand_prix,2007,50,7.36,8.50,9.04,8.20,9.12,8.68,9.02,9.34,8.66
2007_pontiac_solstice,2007,72,8.57,8.43,9.76,8.85,9.13,8.60,9.04,9.67,9.01
2007_pontiac_torrent,2007,46,7.54,8.04,9.26,8.54,8.17,8.63,8.70,8.98,8.48
2007_pontiac_vibe,2007,46,9.43,8.57,8.91,8.65,8.67,8.43,9.57,9.11,8.92
2007_saturn_aura,2007,216,7.95,9.08,9.63,9.13,9.38,9.40,9.41,9.42,9.17
2007_saturn_ion,2007,59,8.10,7.73,8.64,7.71,8.29,8.03,8.49,8.15,8.14
2007_saturn_outlook,2007,123,7.10,8.89,9.39,8.60,8.53,9.36,8.84,8.76,8.68
2007_saturn_sky,2007,107,8.33,8.61,9.85,8.85,8.88,8.68,9.22,9.75,9.02
2007_saturn_vue,2007,119,7.85,8.07,8.69,7.91,8.12,8.18,8.49,8.33,8.20
2007_scion_tc,2007,136,7.93,8.79,9.07,8.42,8.65,8.53,9.21,8.99,8.70
2007_subaru_b9_tribeca,2007,41,7.22,9.66,9.12,9.41,8.51,9.41,9.59,8.95,8.98
2007_subaru_forester,2007,51,7.39,7.88,8.33,8.37,8.65,8.00,8.76,8.65,8.25
2007_subaru_impreza,2007,64,7.59,8.08,8.80,8.58,8.86,7.94,9.08,9.27,8.52
2007_subaru_legacy,2007,49,7.84,8.80,9.16,9.04,9.22,8.69,9.33,9.18,8.91
2007_subaru_outback,2007,60,8.18,8.72,8.93,9.13,8.62,8.58,9.28,8.93,8.80
2007_suzuki_forenza,2007,37,6.84,7.22,7.46,6.30,6.68,7.27,7.11,6.95,6.98
2007_suzuki_grand_vitara,2007,42,7.26,9.10,9.29,8.81,8.76,8.79,9.17,9.12,8.79
2007_suzuki_reno,2007,16,7.19,8.06,8.31,8.06,7.38,7.81,8.13,8.25,7.90
2007_suzuki_sx4,2007,81,8.10,9.17,9.56,9.37,8.89,9.12,9.51,9.52,9.15
2007_suzuki_xl7,2007,63,7.63,8.52,8.73,7.95,8.84,8.65,8.25,8.43,8.38
2007_toyota_4runner,2007,78,7.53,8.56,9.29,9.38,9.29,8.72,9.60,9.08,8.93
2007_toyota_avalon,2007,106,8.76,8.53,8.87,8.74,8.92,9.03,9.09,8.43,8.80
2007_toyota_camry,2007,540,7.89,8.30,8.93,7.79,7.67,8.45,8.24,7.65,8.11
2007_toyota_camry_hybrid,2007,223,9.54,9.05,9.39,9.41,8.90,9.24,9.72,9.02,9.29
2007_toyota_camry_solara,2007,47,8.09,9.09,9.21,8.89,8.96,9.32,8.94,9.30,8.97
2007_toyota_corolla,2007,104,9.24,8.36,8.68,9.05,8.49,8.04,9.36,8.38,8.70
2007_toyota_fj_cruiser,2007,274,7.36,9.03,9.67,9.60,9.44,8.98,9.75,9.77,9.20
2007_toyota_highlander,2007,27,7.11,7.78,8.15,8.67,8.04,8.22,9.30,7.96,8.15
2007_toyota_highlander_hybrid,2007,51,7.71,8.41,8.84,9.02,9.25,8.78,9.24,8.55,8.73
2007_toyota_matrix,2007,52,9.23,8.48,9.02,8.88,8.27,8.69,9.56,8.73,8.86
2007_toyota_prius,2007,169,9.46,8.72,8.73,9.19,8.84,8.24,9.49,9.01,8.96
2007_toyota_rav4,2007,212,7.97,8.39,8.85,8.84,9.09,8.41,9.12,9.04,8.71
2007_toyota_sequoia,2007,21,6.76,8.62,9.33,9.14,9.29,9.10,9.24,8.95,8.80
2007_toyota_sienna,2007,51,7.43,8.78,8.69,8.55,8.80,8.96,8.84,8.35,8.55
2007_toyota_tacoma,2007,113,7.94,8.81,9.08,8.95,8.84,8.70,9.09,8.91,8.79
2007_toyota_tundra,2007,234,7.38,8.56,9.21,8.91,9.53,9.02,9.17,9.19,8.87
2007_toyota_yaris,2007,361,9.63,8.88,9.45,9.30,8.98,8.95,9.69,9.32,9.28
2007_volkswagen_eos,2007,106,9.05,9.33,9.37,9.12,9.34,9.24,9.05,9.83,9.29
2007_volkswagen_gti,2007,111,8.54,9.47,9.35,9.03,9.52,9.23,9.05,9.77,9.24
2007_volkswagen_jetta,2007,115,7.65,8.79,8.81,8.54,8.58,8.41,8.49,8.86,8.52
2007_volkswagen_new_beetle,2007,31,7.42,8.94,9.23,8.87,8.87,8.84,8.77,9.10,8.75
2007_volkswagen_passat,2007,153,8.39,8.84,9.14,8.34,8.88,8.76,8.21,8.95,8.69
2007_volkswagen_rabbit,2007,135,7.40,9.01,9.14,9.13,8.90,8.74,9.08,9.29,8.84
2007_volkswagen_touareg,2007,29,6.86,9.55,9.31,9.21,9.45,9.41,8.93,9.24,9.00
2007_volvo_c70,2007,29,7.55,8.52,9.31,8.62,7.86,8.48,8.41,9.00,8.47
2007_volvo_s40,2007,25,7.64,9.16,9.48,8.68,8.08,8.60,8.60,8.96,8.65
2007_volvo_s60,2007,29,8.34,8.86,8.83,8.52,8.55,9.07,8.69,8.72,8.70
2007_volvo_s80,2007,18,8.39,9.56,9.61,9.61,9.11,9.67,9.72,9.28,9.37
2007_volvo_v50,2007,19,7.74,9.37,9.53,8.79,8.58,9.21,9.00,9.11,8.91
2007_volvo_v70,2007,11,8.00,9.00,9.36,9.27,9.09,9.45,9.27,8.55,9.00
2007_volvo_xc70,2007,14,6.07,8.57,9.21,8.71,8.86,9.14,8.21,8.71,8.44
2007_volvo_xc90,2007,60,7.38,9.00,9.45,8.65,8.90,9.42,8.42,8.73,8.74
