docid,year,num_reviews,FUEL,INTERIOR,EXTERIOR,BUILD,PERFORMANCE,COMFORT,RELIABILITY,FUN,overall_rating
2008_cadillac_cts,2008,125,7.97,9.55,9.62,8.59,9.20,9.22,8.64,9.42,9.03
2008_cadillac_dts,2008,14,7.86,8.64,9.21,8.64,8.93,9.21,9.07,8.79,8.79
2008_cadillac_escalade,2008,24,5.75,7.21,8.92,6.38,7.96,7.46,6.71,7.25,7.20
2008_cadillac_srx,2008,22,6.36,9.41,9.09,9.36,9.45,9.59,9.55,9.23,9.01
2008_cadillac_sts,2008,24,7.92,8.75,9.33,8.83,8.83,9.25,8.50,8.96,8.80
2008_chevrolet_avalanche,2008,32,7.81,9.63,9.81,9.75,9.56,9.91,9.81,9.69,9.50
2008_chevrolet_aveo,2008,60,8.40,8.47,8.67,8.63,8.08,8.35,8.85,8.52,8.50
2008_chevrolet_cobalt,2008,84,8.48,7.82,8.54,8.31,8.50,7.94,8.87,8.67,8.39
2008_chevrolet_colorado,2008,37,7.27,7.54,8.95,8.22,8.16,8.16,8.57,8.46,8.17
2008_chevrolet_corvette,2008,75,8.85,8.73,9.68,9.08,9.76,8.95,9.29,9.60,9.24
2008_chevrolet_equinox,2008,75,7.61,7.85,8.91,8.44,8.76,8.33,8.75,8.91,8.45
2008_chevrolet_hhr,2008,103,8.82,7.96,9.34,8.46,8.57,8.54,9.00,9.16,8.73
2008_chevrolet_impala,2008,117,7.83,7.93,8.50,8.15,8.55,8.39,8.78,8.12,8.28
2008_chevrolet_malibu,2008,191,8.54,9.46,9.61,9.27,9.12,9.27,9.26,9.28,9.23
2008_chevrolet_silverado_1500,2008,89,7.13,8.78,9.09,8.94,9.04,9.30,9.13,8.91,8.79
2008_chevrolet_silverado_2500hd,2008,22,6.68,8.86,8.41,8.64,9.14,9.27,8.55,9.14,8.59
2008_chevrolet_suburban,2008,25,6.92,9.12,9.64,9.48,9.36,9.76,9.76,9.28,9.17
2008_chevrolet_tahoe,2008,37,6.78,9.08,9.38,8.57,9.03,9.22,8.89,9.05,8.75
2008_chevrolet_tahoe_hybrid,2008,14,8.36,8.93,8.71,8.43,8.43,9.00,8.50,8.79,8.64
2008_chevrolet_trailblazer,2008,46,6.04,8.54,8.83,8.33,8.89,9.02,8.46,9.09,8.40
2008_chevrolet_uplander,2008,13,7.46,6.46,8.62,7.15,8.38,7.85,7.62,7.38,7.62
2008_chrysler_300,2008,31,8.32,8.77,9.61,9.13,9.13,9.42,9.29,9.16,9.10
2008_chrysler_aspen,2008,43,6.28,9.02,9.09,8.65,8.95,9.21,8.98,8.91,8.64
2008_chrysler_crossfire,2008,12,7.92,7.92,9.67,8.75,8.08,7.92,9.00,9.08,8.54
2008_chrysler_pacifica,2008,20,6.05,8.45,8.70,8.30,8.75,8.95,8.45,8.70,8.29
2008_chrysler_pt_cruiser,2008,24,6.25,8.33,8.33,7.38,6.96,7.92,7.13,8.08,7.55
2008_chrysler_sebring,2008,64,8.03,7.89,8.84,7.92,7.88,8.48,8.31,8.89,8.28
2008_chrysler_town_and_country,2008,133,6.46,8.24,8.17,6.85,7.23,8.50,6.82,7.35,7.45
2008_dodge_avenger,2008,115,7.84,7.90,9.16,7.90,8.09,8.03,8.35,8.69,8.24
2008_dodge_caliber,2008,78,8.05,7.71,8.68,7.69,7.59,8.31,8.50,8.35,8.11
2008_dodge_challenger,2008,17,6.88,7.82,9.88,9.24,9.65,9.00,9.29,9.71,8.93
2008_dodge_charger,2008,61,7.36,8.84,9.44,9.10,9.02,9.43,9.03,9.30,8.94
2008_dodge_dakota,2008,14,7.43,9.14,9.64,9.43,9.57,9.36,9.21,9.43,9.15
2008_dodge_grand_caravan,2008,83,6.48,7.76,7.66,6.22,7.01,8.12,6.73,7.37,7.17
2008_dodge_magnum,2008,12,7.83,9.00,10.00,9.25,9.25,9.83,9.50,9.67,9.29
2008_dodge_nitro,2008,44,6.91,8.11,9.16,8.48,8.50,8.66,8.82,9.02,8.46
2008_dodge_ram_pickup_1500,2008,57,6.54,8.42,9.44,8.23,8.74,8.58,8.46,8.65,8.38
2008_dodge_ram_pickup_2500,2008,34,5.79,7.79,8.18,7.35,8.03,8.00,6.65,8.00,7.47
2008_dodge_ram_pickup_3500,2008,27,4.81,7.15,8.48,5.93,6.70,7.30,5.74,7.15,6.66
2008_ford_edge,2008,89,7.26,8.65,9.49,8.76,8.84,9.06,9.03,9.01,8.76
2008_ford_escape,2008,141,8.01,8.78,9.26,8.33,8.36,8.79,8.49,9.19,8.65
2008_ford_escape_hybrid,2008,82,9.23,8.60,9.04,8.89,8.93,8.95,9.39,9.11,9.02
2008_ford_expedition,2008,39,7.74,9.23,9.51,9.26,9.13,9.72,9.51,9.18,9.16
2008_ford_explorer,2008,21,6.71,8.38,9.29,9.38,8.81,9.05,9.67,9.10,8.80
2008_ford_explorer_sport_trac,2008,20,6.50,8.25,9.50,9.10,8.50,8.80,9.40,8.70,8.59
2008_ford_f-150,2008,51,7.61,9.51,9.69,9.24,8.59,9.20,9.47,8.96,9.03
2008_ford_f-250_super_duty,2008,55,5.45,9.16,9.36,8.98,8.82,8.78,8.65,8.73,8.49
2008_ford_f-350_super_duty,2008,41,5.49,8.71,8.98,8.00,8.37,8.71,7.73,8.46,8.05
2008_ford_f-450_super_duty,2008,28,3.79,9.07,8.93,6.32,7.46,8.89,5.75,8.07,7.29
2008_ford_focus,2008,192,9.41,8.70,8.84,8.75,8.85,8.81,9.08,9.15,8.95
2008_ford_fusion,2008,103,8.86,9.29,9.68,9.53,8.89,9.45,9.72,9.40,9.35
2008_ford_mustang,2008,78,7.24,8.37,9.55,8.50,9.04,8.29,9.05,9.47,8.69
2008_ford_ranger,2008,37,7.51,7.54,8.84,8.51,7.86,8.14,8.97,8.43,8.23
2008_ford_shelby_gt500,2008,28,7.04,8.00,9.46,8.61,9.36,8.75,9.07,9.71,8.75
2008_ford_taurus,2008,75,8.51,9.29,9.04,9.28,9.16,9.56,9.41,8.80,9.13
2008_ford_taurus_x,2008,60,7.68,9.22,9.05,8.80,9.20,9.42,9.13,9.02,8.94
2008_gmc_acadia,2008,167,7.00,8.79,9.35,8.18,8.07,9.17,8.43,8.58,8.45
2008_gmc_envoy,2008,15,5.93,7.93,9.07,8.47,8.67,9.33,8.93,8.80,8.39
2008_gmc_sierra_1500,2008,73,7.45,8.88,9.47,8.84,8.71,9.07,9.30,8.96,8.83
2008_gmc_sierra_2500hd,2008,20,5.85,9.05,9.05,8.70,8.70,8.95,8.60,8.80,8.46
2008_gmc_yukon,2008,22,6.36,8.77,8.95,8.73,8.68,9.05,8.45,8.73,8.47
2008_gmc_yukon_hybrid,2008,14,7.64,8.00,9.00,8.21,8.50,8.14,8.36,8.50,8.29
2008_honda_accord,2008,540,7.75,8.58,9.07,8.41,8.44,8.28,8.81,8.28,8.45
2008_honda_civic,2008,436,8.91,8.64,9.07,8.82,8.46,8.21,9.22,8.92,8.78
2008_honda_cr-v,2008,228,8.38,9.02,9.25,9.36,8.79,8.82,9.52,9.10,9.03
2008_honda_element,2008,62,7.23,8.89,9.21,9.03,8.47,8.06,9.37,9.02,8.66
2008_honda_fit,2008,161,8.93,9.14,9.02,9.34,8.72,8.37,9.56,9.33,9.05
2008_honda_odyssey,2008,118,7.14,8.44,8.63,7.84,8.58,8.77,8.47,8.04,8.24
2008_honda_pilot,2008,66,6.64,8.41,8.42,8.64,8.62,8.71,8.77,8.36,8.32
2008_honda_ridgeline,2008,85,7.22,9.16,8.99,9.38,8.87,9.25,9.51,9.11,8.94
2008_honda_s2000,2008,12,8.33,8.92,9.83,9.92,9.67,7.50,9.83,10.00,9.25
2008_hyundai_accent,2008,69,8.81,8.39,8.75,8.33,7.74,8.19,8.72,8.55,8.44
2008_hyundai_azera,2008,28,7.68,8.79,9.14,8.82,9.25,9.32,8.93,8.79,8.84
2008_hyundai_elantra,2008,156,9.10,9.10,8.99,9.13,8.82,8.97,9.40,8.96,9.06
2008_hyundai_entourage,2008,16,6.63,8.38,9.13,8.56,8.88,9.00,8.75,8.13,8.43
2008_hyundai_santa_fe,2008,128,7.14,8.70,8.74,8.27,8.16,8.67,8.30,8.17,8.27
2008_hyundai_sonata,2008,100,8.40,8.34,8.98,8.66,8.66,9.01,9.08,8.59,8.72
2008_hyundai_tiburon,2008,44,7.52,8.95,9.34,8.80,7.70,8.45,8.91,9.20,8.61
2008_hyundai_tucson,2008,21,7.14,8.71,8.43,8.71,8.10,8.62,8.71,8.43,8.36
2008_hyundai_veracruz,2008,77,7.56,9.55,9.42,9.13,8.99,9.47,9.34,8.92,9.05
2008_infiniti_ex35,2008,73,7.10,9.23,9.51,9.26,9.63,9.26,9.33,9.53,9.11
2008_infiniti_fx35,2008,33,6.76,9.21,9.52,9.52,9.39,8.94,9.48,9.39,9.03
2008_infiniti_g35,2008,131,6.99,9.51,9.60,9.47,9.64,9.15,9.60,9.69,9.21
2008_infiniti_g37,2008,71,7.66,9.52,9.75,9.61,9.54,9.28,9.65,9.80,9.35
2008_infiniti_m35,2008,35,6.63,9.63,9.34,9.60,9.29,9.60,9.63,9.37,9.14
2008_infiniti_m45,2008,11,6.64,9.82,8.91,9.64,9.45,9.64,9.64,9.55,9.16
2008_infiniti_qx56,2008,32,6.06,9.78,9.47,9.56,9.41,9.66,9.63,9.28,9.11
2008_jeep_commander,2008,38,5.92,8.84,9.32,8.29,8.95,9.03,8.58,9.18,8.51
2008_jeep_compass,2008,36,7.78,7.11,8.42,7.47,7.53,8.28,8.56,8.33,7.93
2008_jeep_grand_cherokee,2008,72,6.44,8.65,9.15,8.26,8.92,8.82,8.81,8.88,8.49
2008_jeep_liberty,2008,98,6.57,8.82,9.36,8.85,8.46,8.99,9.04,9.09,8.65
2008_jeep_patriot,2008,156,8.65,8.14,9.10,8.63,8.30,8.58,8.96,8.90,8.66
2008_jeep_wrangler,2008,125,6.54,8.33,9.19,8.24,7.80,8.21,8.66,9.66,8.33
2008_kia_optima,2008,46,8.41,9.30,8.78,8.98,8.67,8.98,9.24,8.85,8.90
2008_kia_rio,2008,32,8.75,8.38,8.72,8.44,7.56,8.00,8.75,8.56,8.39
2008_kia_rondo,2008,32,6.66,8.47,7.22,7.69,8.03,8.25,8.31,7.94,7.82
2008_kia_sedona,2008,31,6.90,8.45,8.48,8.35,8.71,8.61,8.32,8.61,8.31
2008_kia_sorento,2008,29,6.45,8.28,8.97,8.66,8.72,8.66,8.59,8.66,8.37
2008_kia_spectra,2008,44,8.32,8.84,8.70,8.43,8.39,8.36,8.82,8.52,8.55
2008_kia_sportage,2008,33,7.76,8.39,9.12,8.52,8.52,8.79,8.36,8.82,8.53
2008_lexus_es_350,2008,52,8.87,8.65,9.19,9.48,9.29,9.33,9.63,8.62,9.13
2008_lexus_gs_350,2008,29,8.38,9.28,9.59,9.48,9.45,9.17,9.66,9.34,9.29
2008_lexus_gx_470,2008,15,7.33,9.27,9.07,9.73,9.27,9.87,9.80,9.13,9.18
2008_lexus_is_250,2008,72,8.60,9.46,9.72,9.82,8.65,9.33,9.82,9.26,9.33
2008_lexus_is_350,2008,23,7.09,7.78,8.39,8.70,8.78,8.78,9.39,8.26,8.40
2008_lexus_is_f,2008,18,7.83,9.17,8.83,9.72,9.61,8.94,9.83,9.61,9.19
2008_lexus_ls_460,2008,36,8.81,9.67,9.44,9.50,9.50,9.72,9.53,8.92,9.39
2008_lexus_rx_350,2008,48,7.98,8.71,8.79,8.73,8.56,8.83,9.21,7.96,8.60
2008_lexus_rx_400h,2008,26,7.62,9.38,9.27,9.42,9.42,9.54,9.38,8.92,9.12
2008_mazda_cx-7,2008,69,6.32,8.59,9.49,8.70,9.14,8.70,8.51,9.52,8.62
2008_mazda_cx-9,2008,130,7.07,9.13,9.48,9.22,9.27,9.28,9.33,9.47,9.03
2008_mazda_mazda3,2008,163,8.01,9.13,9.36,9.09,9.06,8.69,9.29,9.52,9.02
2008_mazda_mazda5,2008,79,8.57,8.82,9.10,9.09,8.95,8.51,9.33,9.41,8.97
2008_mazda_mazda6,2008,41,8.02,8.73,9.20,8.76,8.37,8.85,9.00,9.34,8.78
2008_mazda_mazdaspeed_mazda3,2008,39,7.44,9.23,9.33,9.15,9.82,8.69,9.33,9.82,9.10
2008_mazda_mx-5_miata,2008,54,9.04,8.80,9.35,9.50,9.37,8.44,9.56,9.85,9.24
2008_mazda_tribute,2008,38,7.39,8.03,8.11,7.79,7.79,8.18,7.71,8.21,7.90
2008_mercedes-benz_c-class,2008,234,7.91,8.79,9.68,9.42,9.13,8.74,9.39,9.32,9.05
2008_mercedes-benz_clk-class,2008,22,8.00,9.36,9.73,9.82,9.64,9.36,9.82,9.73,9.43
2008_mercedes-benz_e-class,2008,78,8.26,9.10,9.69,9.69,9.28,9.33,9.51,9.49,9.29
2008_mercedes-benz_gl-class,2008,86,8.02,8.98,9.23,8.88,8.93,9.33,8.65,8.91,8.87
2008_mercedes-benz_m-class,2008,96,8.44,8.94,9.69,9.25,9.33,9.23,9.27,9.27,9.18
2008_mercedes-benz_r-class,2008,44,8.00,9.41,9.36,9.59,8.91,9.59,9.64,9.00,9.19
2008_mercedes-benz_s-class,2008,28,6.71,9.86,9.64,9.79,10.00,9.71,9.64,9.71,9.38
2008_mini_cooper,2008,49,8.86,8.18,9.04,7.88,8.98,8.02,8.04,9.27,8.53
2008_mini_cooper_clubman,2008,26,9.50,9.00,9.62,8.85,9.23,8.77,9.31,9.85,9.26
2008_mitsubishi_eclipse,2008,23,8.04,7.70,9.13,8.48,8.57,8.57,9.04,8.83,8.54
2008_mitsubishi_lancer,2008,87,7.97,8.72,9.43,8.36,8.06,8.75,8.94,9.36,8.70
2008_mitsubishi_lancer_evolution,2008,28,6.82,7.61,9.14,8.07,9.43,8.04,8.96,9.64,8.46
2008_mitsubishi_outlander,2008,56,8.14,8.57,9.16,8.80,8.91,8.84,9.07,9.20,8.84
2008_mitsubishi_raider,2008,11,5.82,7.18,9.00,7.73,6.27,8.09,8.00,7.64,7.47
2008_nissan_350z,2008,24,7.42,8.13,9.71,9.08,9.54,8.04,9.33,9.92,8.90
2008_nissan_altima,2008,220,8.39,8.68,9.33,8.31,8.73,8.42,8.61,8.89,8.67
2008_nissan_altima_hybrid,2008,56,8.66,8.73,9.14,8.80,8.77,8.64,8.88,8.63,8.78
2008_nissan_armada,2008,39,6.23,9.59,9.62,8.95,9.62,9.77,9.10,9.26,9.02
2008_nissan_frontier,2008,65,8.00,8.34,9.35,9.46,9.40,8.83,9.51,9.37,9.03
2008_nissan_maxima,2008,47,7.68,9.00,9.19,8.51,9.02,9.06,9.06,8.87,8.80
2008_nissan_pathfinder,2008,67,6.36,8.51,8.99,8.24,8.61,8.46,8.52,8.36,8.26
2008_nissan_quest,2008,26,8.00,9.27,9.23,8.62,9.42,9.04,9.15,9.15,8.99
2008_nissan_rogue,2008,210,8.56,9.00,9.26,9.01,8.89,9.11,9.12,9.26,9.03
2008_nissan_sentra,2008,141,8.16,8.51,8.81,8.26,8.60,8.67,8.87,8.35,8.53
2008_nissan_titan,2008,69,6.65,9.54,9.55,9.30,9.58,9.42,9.52,9.43,9.13
2008_nissan_versa,2008,120,8.22,8.46,8.59,8.24,8.17,8.51,8.41,8.33,8.36
2008_nissan_xterra,2008,43,6.74,8.07,9.14,9.09,9.30,8.23,9.42,9.23,8.65
2008_pontiac_g5,2008,23,7.91,7.65,8.83,7.83,7.78,7.78,7.70,8.09,7.95
2008_pontiac_g6,2008,80,7.48,8.54,9.38,8.40,8.50,8.91,8.74,8.99,8.62
2008_pontiac_g8,2008,104,7.69,8.79,9.60,9.29,9.70,9.39,9.39,9.72,9.20
2008_pontiac_grand_prix,2008,38,7.79,8.08,8.71,8.16,8.82,8.61,8.82,9.03,8.50
2008_pontiac_solstice,2008,31,8.39,7.55,9.84,8.74,9.32,8.45,9.23,9.81,8.92
2008_pontiac_torrent,2008,30,7.93,7.90,9.20,9.13,8.90,8.87,9.07,9.00,8.75
2008_pontiac_vibe,2008,23,9.30,8.65,9.30,8.70,8.74,9.13,9.48,9.48,9.10
2008_saturn_astra,2008,111,8.95,9.21,9.71,9.59,8.92,9.18,9.51,9.63,9.34
2008_saturn_aura,2008,99,8.16,8.97,9.59,9.11,9.27,8.92,9.40,9.27,9.09
2008_saturn_outlook,2008,83,6.47,9.05,9.35,8.53,7.99,9.27,8.72,8.83,8.53
2008_saturn_sky,2008,28,8.93,8.54,9.96,9.00,9.75,9.00,9.61,10.00,9.35
2008_saturn_vue,2008,155,7.02,8.63,9.23,8.34,8.14,8.48,8.37,8.52,8.34
2008_saturn_vue_hybrid,2008,17,7.94,8.88,9.35,8.29,7.82,7.53,8.41,7.82,8.26
2008_scion_tc,2008,66,8.29,9.05,9.59,9.14,8.94,8.85,9.59,9.39,9.10
2008_scion_xb,2008,184,8.22,8.92,9.30,9.34,9.16,8.86,9.63,9.38,9.10
2008_scion_xd,2008,149,9.13,8.89,9.39,9.38,9.05,8.74,9.64,9.41,9.20
2008_smart_fortwo,2008,151,9.14,9.28,9.64,9.28,8.36,8.89,9.35,9.54,9.19
2008_subaru_forester,2008,29,8.14,8.83,8.93,9.07,9.07,8.79,9.31,9.31,8.93
2008_subaru_impreza,2008,143,7.56,8.62,8.92,8.86,8.74,8.55,9.41,9.05,8.71
2008_subaru_legacy,2008,89,8.25,9.26,9.31,9.38,8.78,9.02,9.62,9.34,9.12
2008_subaru_outback,2008,94,7.84,8.54,9.15,8.88,8.00,8.33,8.89,8.48,8.51
2008_subaru_tribeca,2008,56,6.54,8.96,8.89,8.89,8.88,8.84,8.89,8.82,8.59
2008_suzuki_forenza,2008,18,6.72,7.11,7.78,7.11,6.94,6.94,7.50,6.89,7.13
2008_suzuki_grand_vitara,2008,17,6.35,8.59,9.06,8.82,8.82,8.12,9.24,9.06,8.51
2008_suzuki_sx4,2008,78,7.90,8.26,9.03,8.58,8.24,8.60,9.10,8.96,8.58
2008_suzuki_xl7,2008,40,7.90,8.73,9.08,8.90,9.18,9.05,9.25,8.98,8.88
2008_toyota_4runner,2008,48,7.77,8.63,9.38,9.54,9.06,8.85,9.54,9.08,8.98
2008_toyota_avalon,2008,74,8.93,8.73,8.77,9.19,9.09,8.96,9.46,8.54,8.96
2008_toyota_camry,2008,97,7.85,7.99,8.95,7.69,7.36,8.08,7.80,7.36,7.89
2008_toyota_camry_hybrid,2008,66,9.53,9.17,9.42,9.48,9.15,9.42,9.71,9.20,9.39
2008_toyota_camry_solara,2008,36,8.25,9.06,9.22,9.33,8.58,9.44,9.53,9.42,9.10
2008_toyota_corolla,2008,62,9.34,8.47,8.55,8.73,8.74,8.27,9.42,8.60,8.76
2008_toyota_fj_cruiser,2008,52,7.40,9.06,9.65,9.58,9.48,9.10,9.65,9.60,9.19
2008_toyota_highlander,2008,187,8.01,9.26,9.14,9.39,9.21,9.32,9.44,8.93,9.09
2008_toyota_highlander_hybrid,2008,59,8.85,9.14,8.97,9.47,9.15,9.63,9.51,8.97,9.21
2008_toyota_land_cruiser,2008,11,6.36,8.55,8.36,9.36,9.18,9.09,9.36,9.18,8.68
2008_toyota_matrix,2008,26,8.42,8.38,8.81,8.62,8.42,8.19,9.08,8.38,8.54
2008_toyota_prius,2008,180,9.76,9.09,9.06,9.43,8.94,8.88,9.62,9.12,9.24
2008_toyota_rav4,2008,110,8.40,8.32,9.03,9.05,9.25,8.45,9.50,9.11,8.89
2008_toyota_sequoia,2008,101,6.88,9.03,9.03,9.37,9.58,9.51,9.55,9.16,9.01
2008_toyota_sienna,2008,57,8.04,9.40,9.18,9.40,9.14,9.51,9.58,8.51,9.09
2008_toyota_tacoma,2008,83,7.43,8.71,9.18,8.75,8.83,8.61,9.22,8.78,8.69
2008_toyota_tundra,2008,127,6.91,8.77,9.18,9.02,9.44,8.98,9.29,9.12,8.84
2008_toyota_yaris,2008,167,9.76,8.85,9.34,9.44,8.91,8.85,9.66,9.33,9.27
2008_volkswagen_eos,2008,49,8.57,8.33,8.73,8.24,8.57,8.39,8.18,9.02,8.51
2008_volkswagen_gli,2008,22,8.73,9.32,9.18,9.50,9.50,9.18,9.32,9.68,9.30
2008_volkswagen_gti,2008,51,8.63,9.27,9.35,9.10,9.43,9.00,9.12,9.78,9.21
2008_volkswagen_jetta,2008,133,8.11,9.11,8.92,9.04,9.09,8.94,8.99,9.34,8.94
2008_volkswagen_new_beetle,2008,19,7.63,9.11,9.84,8.42,9.05,9.16,8.89,9.47,8.95
2008_volkswagen_passat,2008,88,8.86,9.32,9.26,9.38,9.52,9.43,9.18,9.58,9.32
2008_volkswagen_r32,2008,40,6.68,9.33,9.15,9.33,9.18,9.15,9.20,9.53,8.94
2008_volkswagen_rabbit,2008,77,7.12,9.04,9.13,9.23,9.01,8.81,9.13,9.42,8.86
2008_volkswagen_touareg_2,2008,21,6.00,8.95,9.19,8.43,8.67,9.33,8.33,8.81,8.46
2008_volvo_c30,2008,46,7.65,9.00,9.50,9.09,9.22,9.11,9.04,9.26,8.98
2008_volvo_c70,2008,25,8.12,8.88,9.64,8.68,8.76,9.20,8.68,9.40,8.92
2008_volvo_s40,2008,19,8.16,9.74,9.89,9.58,9.05,9.74,9.84,9.42,9.43
2008_volvo_s80,2008,22,7.68,9.27,9.36,9.23,8.55,9.41,9.00,8.55,8.88
2008_volvo_v70,2008,11,7.27,9.64,9.55,9.36,8.36,9.64,9.09,8.55,8.93
2008_volvo_xc70,2008,24,5.42,8.75,8.46,8.42,8.00,9.08,8.25,7.75,8.02
2008_volvo_xc90,2008,34,5.76,8.50,8.88,8.06,8.26,8.74,8.32,8.15,8.08
