doc_id,hotel_name,hotel_url,street,city,state,country,zip,class,price,num_reviews,CLEANLINESS,ROOM,SERVICE,LOCATION,VALUE,COMFORT,overall_ratingsource
china_shanghai_shanghai_jc_mandarin,shanghai jc mandarin,http://www.tripadvisor.com/ShowUserReviews-g308272-d307551-r49660229-Shanghai_JC_Mandarin-Shanghai.html,no.1225 nanjing west road  jing'an district,shanghai,-1,China,200040,-1,-1,59,3.6511627906976742,3.627906976744186,3.6511627906976742,4.3023255813953485,3.744186046511628,0.0,3.7953488372093025,
china_shanghai_jin_jiang_hotel,jin jiang hotel,http://www.tripadvisor.com/ShowUserReviews-g308272-d303013-r48298104-Jin_Jiang_Hotel-Shanghai.html,no.59 maoming south road  luwan district,shanghai,-1,China,200020,-1,-1,48,3.7837837837837838,3.7567567567567566,3.2972972972972974,4.162162162162162,3.5675675675675675,0.0,3.713513513513513,
china_shanghai_radisson_plaza_xing_guo,radisson plaza xing guo,http://www.tripadvisor.com/ShowUserReviews-g308272-d306490-r49471124-Radisson_Plaza_Xing_Guo-Shanghai.html,no.78 xingguo road,shanghai,-1,China,200052,-1,-1,23,4.529411764705882,4.117647058823529,4.0588235294117645,3.7058823529411766,4.0588235294117645,0.0,4.094117647058823,
china_shanghai_salvo_hotel_zhongfu_shifuhui,salvo hotel zhongfu shifuhui,http://www.tripadvisor.com/ShowUserReviews-g308272-d567162-r48372214-Salvo_Hotel_Zhongfu_Shifuhui-Shanghai.html,no.339 guangdong road  huangpu district,shanghai,-1,China,200001,-1,-1,39,4.03030303030303,3.8181818181818183,3.6363636363636362,4.303030303030303,3.6363636363636362,0.0,3.8848484848484843,
china_shanghai_city_hotel_shanghai,city hotel shanghai,http://www.tripadvisor.com/ShowUserReviews-g308272-d307391-r46498559-City_Hotel_Shanghai-Shanghai.html,no.5-7 shanxi south road  luwang district,shanghai,-1,China,200020,-1,-1,22,4.0,3.642857142857143,3.7857142857142856,4.5,3.7857142857142856,0.0,3.942857142857143,
china_shanghai_oriental_riverside_hotel,oriental riverside hotel,http://www.tripadvisor.com/ShowUserReviews-g308272-d306489-r50007061-Oriental_Riverside_Hotel-Shanghai.html,no.2727 riverside avenue  pudong,shanghai,-1,China,200120,-1,-1,27,4.052631578947368,3.789473684210526,3.263157894736842,4.2631578947368425,3.5789473684210527,0.0,3.789473684210526,
china_shanghai_shanghai_ever_sunshine_hotel,shanghai ever sunshine hotel,http://www.tripadvisor.com/ShowUserReviews-g308272-d673849-r47169085-Shanghai_Ever_Sunshine_Hotel-Shanghai.html,no.1436 south pudong road,shanghai,-1,China,200122,-1,-1,5,4.6,4.4,3.8,3.4,4.4,0.0,4.12,
china_shanghai_courtyard_shanghai_xujiahui,courtyard shanghai xujiahui,http://www.tripadvisor.com/ShowUserReviews-g308272-d1235768-r49991763-Courtyard_Shanghai_Xujiahui-Shanghai.html,no.100 hongqiao road  xujiahui commercial area,shanghai,-1,China,200030,-1,-1,10,4.888888888888889,4.0,4.333333333333333,4.0,4.111111111111111,0.0,4.266666666666667,
china_shanghai_hotel_equatorial_shanghai,hotel equatorial shanghai,http://www.tripadvisor.com/ShowUserReviews-g308272-d561838-r49352771-Hotel_Equatorial_Shanghai-Shanghai.html,no.65 yan'an west road  jing'an district,shanghai,-1,China,200040,-1,-1,35,4.190476190476191,3.9523809523809526,3.7142857142857144,3.8095238095238093,3.761904761904762,0.0,3.8857142857142852,
china_shanghai_regal_shanghai_east_asia_hotel,regal shanghai east asia hotel,http://www.tripadvisor.com/ShowUserReviews-g308272-d302183-r46230030-Regal_Shanghai_East_Asia_Hotel-Shanghai.html,no.800 lingling road  xuhui district,shanghai,-1,China,200030,-1,-1,21,4.470588235294118,4.0588235294117645,4.235294117647059,3.4705882352941178,4.470588235294118,0.0,4.141176470588235,
china_shanghai_ruijin_hotel,ruijin hotel,http://www.tripadvisor.com/ShowUserReviews-g308272-d309509-r46528417-Ruijin_Hotel-Shanghai.html,118 ruijin er lu,shanghai,-1,China,200020,-1,-1,36,3.761904761904762,4.095238095238095,3.6666666666666665,4.571428571428571,3.857142857142857,0.0,3.9904761904761905,
china_shanghai_ketangjian_boutique_hotel_yongjia_road,ketangjian boutique hotel yongjia road,http://www.tripadvisor.com/ShowUserReviews-g308272-d1516815-r40622830-KeTangJian_Boutique_Hotel_Yongjia_Road-Shanghai.html,no.335 yongjia road,shanghai,-1,China,200031,-1,-1,2,5.0,5.0,5.0,4.5,4.0,0.0,4.7,
china_shanghai_four_points_by_sheraton_shanghai_daning,four points by sheraton shanghai daning,http://www.tripadvisor.com/ShowUserReviews-g308272-d639049-r49396851-Four_Points_by_Sheraton_Shanghai_Daning-Shanghai.html,no.1928 gonghexin road  zhabei district,shanghai,-1,China,200072,-1,-1,27,4.423076923076923,4.384615384615385,4.038461538461538,3.4615384615384617,3.8461538461538463,0.0,4.030769230769231,
china_shanghai_donghu_guest_house,donghu guest house,http://www.tripadvisor.com/ShowUserReviews-g308272-d634967-r49974658-Donghu_Guest_House-Shanghai.html,no.70 donghu road  xuhui district,shanghai,-1,China,200431,-1,-1,26,3.789473684210526,3.789473684210526,3.789473684210526,4.421052631578948,4.052631578947368,0.0,3.968421052631579,
china_shanghai_hotel_yun_s_paradise,hotel yun s paradise,http://www.tripadvisor.com/ShowUserReviews-g308272-d1019164-r50162487-Hotel_Yun_s_Paradise-Shanghai.html,no.789 fuxing east road  huangpu district,shanghai,-1,China,-1,-1,-1,10,4.2,4.1,3.7,4.0,4.3,0.0,4.0600000000000005,
china_shanghai_ramada_plaza_pudong,ramada plaza pudong,http://www.tripadvisor.com/ShowUserReviews-g308272-d307544-r50317278-Ramada_Plaza_Pudong-Shanghai.html,no.18 xinjinqiao road  jinqiao export processing zone  pudong,shanghai,-1,China,201206,-1,-1,17,4.3076923076923075,4.153846153846154,4.0,3.5384615384615383,4.0,0.0,4.0,
china_shanghai_shanghai_julu_garden_villa,shanghai julu garden villa,http://www.tripadvisor.com/ShowUserReviews-g308272-d1412288-r48549250-Shanghai_Julu_Garden_Villa-Shanghai.html,no.889 julu road  jing'an district,shanghai,-1,China,200040,-1,-1,2,5.0,4.5,4.5,4.0,4.0,0.0,4.4,
china_shanghai_sheraton_shanghai_hongqiao_hotel,sheraton shanghai hongqiao hotel,http://www.tripadvisor.com/ShowUserReviews-g308272-d301766-r39991871-Sheraton_Shanghai_Hongqiao_Hotel-Shanghai.html,no.5 zunyi south road  (formerly sheraton grand tai ping yang),shanghai,-1,China,200336,-1,-1,34,4.153846153846154,3.6923076923076925,3.730769230769231,3.230769230769231,3.5,0.0,3.6615384615384614,
china_shanghai_jinjiang_inn_shanghai_new_hongqiao,jinjiang inn shanghai new hongqiao,http://www.tripadvisor.com/ShowUserReviews-g308272-d1050808-r48798573-Jinjiang_Inn_Shanghai_New_Hongqiao-Shanghai.html,no.259 wuzhong road  xuhui district,shanghai,-1,China,201103,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,
china_shanghai_holiday_inn_pudong_hotel,holiday inn pudong hotel,http://www.tripadvisor.com/ShowUserReviews-g308272-d307423-r50248190-Holiday_Inn_Pudong_Hotel-Shanghai.html,no.899 dongfang road  pudong,shanghai,-1,China,200122,-1,-1,26,4.3478260869565215,4.173913043478261,4.0,3.4782608695652173,3.9130434782608696,0.0,3.9826086956521736,
china_shanghai_novotel_atlantis_shanghai,novotel atlantis shanghai,http://www.tripadvisor.com/ShowUserReviews-g308272-d299582-r49997252-Novotel_Atlantis_Shanghai-Shanghai.html,no.728 pudong avenue,shanghai,-1,China,200120,-1,-1,31,4.375,3.9166666666666665,3.875,3.0416666666666665,4.083333333333333,0.0,3.858333333333333,
china_shanghai_sky_fortune_boutique_hotel,sky fortune boutique hotel,http://www.tripadvisor.com/ShowUserReviews-g308272-d651239-r34917134-Sky_Fortune_Boutique_Hotel-Shanghai.html,no.358 hongxu road  minhang district,shanghai,-1,China,201103,-1,-1,3,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.0,3.0,0.0,3.2,
china_shanghai_hong_qiao_state_guest_hotel,hong qiao state guest hotel,http://www.tripadvisor.com/ShowUserReviews-g308272-d307500-r49224328-Hong_Qiao_State_Guest_Hotel-Shanghai.html,no.1591 hongqiao road  changning district,shanghai,-1,China,200085,-1,-1,7,4.666666666666667,4.166666666666667,4.166666666666667,3.6666666666666665,4.5,0.0,4.233333333333334,
china_shanghai_motel_168_shanghai_pudong_airport,motel 168 shanghai pudong airport,http://www.tripadvisor.com/ShowUserReviews-g308272-d1409687-r46641427-Motel_168_Shanghai_Pudong_Airport-Shanghai.html,no.6001 yingbin avenue  pudong new area,shanghai,-1,China,201202,-1,-1,6,3.8333333333333335,3.6666666666666665,4.0,5.0,4.666666666666667,0.0,4.233333333333333,
china_shanghai_holiday_inn_express_shanghai_jinqiao,holiday inn express shanghai jinqiao,http://www.tripadvisor.com/ShowUserReviews-g308272-d1197127-r49856911-Holiday_Inn_Express_Shanghai_Jinqiao-Shanghai.html,no.279 jufeng road  pudong new district,shanghai,-1,China,200129,-1,-1,9,4.666666666666667,4.0,4.111111111111111,3.2222222222222223,4.555555555555555,0.0,4.111111111111112,
china_shanghai_crowne_plaza_century_park_shanghai,crowne plaza century park shanghai,http://www.tripadvisor.com/ShowUserReviews-g308272-d1119238-r49613647-Crowne_Plaza_Century_Park_Shanghai-Shanghai.html,no.1433 minsheng road  pudong new district,shanghai,-1,China,200135,-1,-1,12,4.666666666666667,4.083333333333333,4.333333333333333,3.5833333333333335,4.166666666666667,0.0,4.166666666666666,
china_shanghai_jin_jiang_tower_hotel,jin jiang tower hotel,http://www.tripadvisor.com/ShowUserReviews-g308272-d307505-r48162683-Jin_Jiang_Tower_Hotel-Shanghai.html,no.161 changle road  luwan district,shanghai,-1,China,200020,-1,-1,35,3.6296296296296298,3.6296296296296298,3.2962962962962963,4.0,3.4814814814814814,0.0,3.6074074074074076,
china_shanghai_renaissance_shanghai_zhongshan_park_hotel,renaissance shanghai zhongshan park hotel,http://www.tripadvisor.com/ShowUserReviews-g308272-d677593-r49517685-Renaissance_Shanghai_Zhongshan_Park_Hotel-Shanghai.html,no.1018 changning road,shanghai,-1,China,200042,-1,-1,14,4.714285714285714,4.357142857142857,3.7857142857142856,3.9285714285714284,3.9285714285714284,0.0,4.142857142857142,
china_shanghai_crowne_plaza_shanghai,crowne plaza shanghai,http://www.tripadvisor.com/ShowUserReviews-g308272-d307396-r48183528-Crowne_Plaza_Shanghai-Shanghai.html,no.400 panyu road  changning district,shanghai,-1,China,200052,-1,-1,25,4.2,3.85,3.9,3.3,3.6,0.0,3.7699999999999996,
china_shanghai_radisson_hotel_pudong_century_park,radisson hotel pudong century park,http://www.tripadvisor.com/ShowUserReviews-g308272-d604551-r48040494-Radisson_Hotel_Pudong_Century_Park-Shanghai.html,no.1199 ying chun rd  pudong,shanghai,-1,China,200135,-1,-1,17,4.352941176470588,4.352941176470588,4.235294117647059,3.823529411764706,4.176470588235294,0.0,4.188235294117647,
china_shanghai_courtyard_by_marriott_shanghai_pudong,courtyard by marriott shanghai pudong,http://www.tripadvisor.com/ShowUserReviews-g308272-d299746-r50191027-Courtyard_by_Marriott_Shanghai_Pudong-Shanghai.html,no.838 dongfang road,shanghai,-1,China,200122,-1,-1,28,4.318181818181818,3.8636363636363638,4.090909090909091,3.409090909090909,3.772727272727273,0.0,3.8909090909090907,
china_shanghai_purple_mountain_hotel,purple mountain hotel,http://www.tripadvisor.com/ShowUserReviews-g308272-d455551-r35517734-Purple_Mountain_Hotel-Shanghai.html,no.778 dongfang road  pudong new area,shanghai,-1,China,200122,-1,-1,18,4.4,4.2,3.9,4.1,3.9,0.0,4.1,
china_shanghai_jinjiang_inn_shanghai_wanping_south_road,jinjiang inn shanghai wanping south road,http://www.tripadvisor.com/ShowUserReviews-g308272-d1310733-r47542690-Jinjiang_Inn_Shanghai_Wanping_South_Road-Shanghai.html,no.404 wanping south road  xuhui district,shanghai,-1,China,200030,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,
china_shanghai_mayfair_hotel_shanghai,mayfair hotel shanghai,http://www.tripadvisor.com/ShowUserReviews-g308272-d307516-r38807828-Mayfair_Hotel_Shanghai-Shanghai.html,no.1555 dingxi road  changning district,shanghai,-1,China,200085,-1,-1,39,4.2727272727272725,3.909090909090909,3.8181818181818183,3.878787878787879,3.787878787878788,0.0,3.9333333333333336,
china_shanghai_hua_ting_hotel_towers,hua ting hotel towers,http://www.tripadvisor.com/ShowUserReviews-g308272-d304484-r49518501-Hua_Ting_Hotel_Towers-Shanghai.html,no.1200 caoxi north road   xuhui district,shanghai,-1,China,200030,-1,-1,33,3.9166666666666665,3.625,3.8333333333333335,3.375,3.625,0.0,3.675,
china_shanghai_jinjiang_inn_shanghai_hami_road,jinjiang inn shanghai hami road,http://www.tripadvisor.com/ShowUserReviews-g308272-d1459281-r34107573-Jinjiang_Inn_Shanghai_Hami_Road-Shanghai.html,no.1358 hami road  changning district,shanghai,-1,China,200335,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,
